ID, Title, Description, Price, Condition, Link, Availability, Image link
"64f8cd3087920a824b55ab00","S|C Saber Cordless Brushless Motor Trimmer Black","LONG-LIFE DIGITAL BRUSHLESS MOTOR runs at 7,500 rpms for more efficient power transfer for smooth operation and reduction of heat• HEAVY DUTY FULL METAL BODY with slim design• BLACK DIAMOND CARBON DLC X-PRO Wide fixed blade and The One deep tooth moving blade combo• LITHIUM-ION BATTERY delivers 4-hours of cordless run-time with a 90-minute recharge• FULLY ADJUSTABLE ZERO GAP BLADE for the closest cut and finish• UNIVERSAL USB RECHARGEABLE for convenience and worldwide use• ENGINEERED AND DESIGNED in the USA• INCLUDES: Trimmer, Black Diamond Carbon DLC X-Pro Wide fixed blade, The One Black Diamond Carbon DLC moving blade, blade cap protector, Micro USB charging cord, charging stand, mini screwdriver","244.43","new","https://xpressbeauty/products/sc-saber-cordless-brushless-motor-trimmer-black","out_of_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/SCSaberCordlessBrushlessMotorTrimmerBlack/SCSaberCordlessBrushlessMotorTrimmerBlack.webp"
"64f8cd3087920a824b55ab01","BabylissPro FlashFX Cordless Lithium Trimmer","Babyliss FlashFX Cordless Lithium TrimmerHypoallergenic, gold foils/offset double-foil systemAll-metal housingPowerful rotary motorCordless/Up to 3 hours of runtimeAuto cover/shutoffIncludes storage pouchLimited 2-year warranty from BabylissPro ","119.99","new","https://xpressbeauty/products/babylisspro-flashfx-cordless-lithium-trimmer","out_of_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/BabylissProFlashFXCordlessLithiumTrimmer/BabylissProFlashFXCordlessLithiumTrimmer.webp"
"64f8cd3087920a824b55ab02","BabylissPro Boost+ Skeleton Trimmer Matte Black","Babyliss Boost+ Skeleton Trimmer Matte BlackThe BaBylissPRO Matte Black Boost+ Metal Lithium Outlining Trimmer comes equipped with a *new* DLC deep-tooth blade(FX707BD2) and a new diamond-textured rubber handle, making it more comfortable to use throughout your workday! With a high-speed, high-torque brushless motor and a new lithium-ion battery, the new Matte Black Boost+ has a run time of over 4 hours! All-Metal HousingDual VoltageCord/CordlessDetent Hanging Hook3300 mAh Lithium-Ion Battery (Over 4-Hour Runtime)High-Speed, High-Torque Brushless Motor (7200 RPM)","257.13","new","https://xpressbeauty/products/babylisspro-boost-skeleton-trimmer-matte-black","out_of_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/BabylissProBoostSkeletonTrimmerMatteBlack/BabylissProBoostSkeletonTrimmerMatteBlack.webp"
"64f8cd3087920a824b55ab03","JRL FreshFade 2020T Trimmer Gold","360° Exposed Ultra Sharp T shape bladePatented Smart-Clip TechnologyCool Blade Technology: Blade stays cool and Sharp after extended use2 Hours battery life7,200 Revolutions Per MinuteSuperior Motor: 3 times more powerful on torsion than most trimmers on the market.Quiet Motor: Quiet motor, under 60dB, creates quiet working environmentGlobal Universal VoltageStainless Steel blade Ideal For lining designing and dry shavingHanging HookAccessories: 1 Screwdriver, 1 Brush, 1 Lubricant Oil, 1 Blade Protector, 1 US Plug","214.99","new","https://xpressbeauty/products/jrl-freshfade-t-trimmer-gold","out_of_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/JRLFreshFadeTTrimmerGold/JRLFreshFadeTTrimmerGold.webp"
"64f8cd3087920a824b55ab04","Gamma X-Evo Linear Trimmer","Increased torque microchipped magnetic motorPerfectly balanced modular ergonomic designUltimate 2.0 DLC black diamond carbon blade120 minute cordless run-time and mini usb chargingIncludes: Premium Ultimate 2.0 fixed blade with DLC deep tooth cutter. Spare original DLC fixed blade included. 1 Year Warranty, axis shields, charging stand, charging cord, mini USB cord, set of 3 combs (1.5 mm, 4.5 mm, 6 mm), cleaning/maintenance kit, & convenient mini screwdriver for blade regulation and custom body modifications.(1 Trimmer/Machine with 3 covers)","249.99","new","https://xpressbeauty/products/gamma-xevo-linear-trimmer","out_of_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/GammaXEvoLinearTrimmer/GammaXEvoLinearTrimmer.webp"
"64f8cd3087920a824b55ab05","Wahl Cordless Detailer Li Gold","The T-wide blade has titanium and DLC coatings so blades stay cooler, are corrosion resistant, and are extremely strongThe adjustable T-wide blade (#2215-700) can be zero-gapped for extremely close trimmingIt uses a powerful, full-sized clipper motor to cut smoothly through all hair typesIt operates for 100+ minutes and features a lithium-ion battery with smart LED chargingIt comes with a stylish, weighted, space-saving, charge stand What's In The BoxProfessional Cord/Cordless Trimmer3 T-Wide Trimming Guides (1/16", 1/8", 3/16")Charge StandPro-Set ToolCleaning BrushPower SupplyOilOperating InstructionsRed Blade Guard","255.5","new","https://xpressbeauty/products/wahl-cordless-detailer-li-gold","out_of_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/WahlCordlessDetailerLiGold/WahlCordlessDetailerLiGold.webp"
"64f8cd3087920a824b55ab06","BabylissPro SNAPFX Trimmer","Babyliss SNAPFX TrimmerYOU DON’T QUIT. NEITHER SHOULD YOUR TOOLS! Introducing the new BaBylissPRO® SNAPFX. For the first time ever, the power of UNLIMITED Cordless runtime is in your hands with their patent-pending, industry-first dual battery system. Effortlessly snap in/snap out the high-capacity battery cartridges while you work. Charge one cartridge while using the other, enabling you to cut for as long as you want, client after client. New high-torque 7200 RPM brushless motorIncludes charging standIncludes 2 batteriesNew LED ring light battery indicator Black DLC Fade Blade / Zero-gap adjustable (FX8010D)Snap-in / snap-out dual lithium battery system Snap-on / Snap-off, self-aligning magnetic hair pocket coverAll-metal housing knurled barbell gripThe revolutionary power system that keeps going as long as you do!","374.99","new","https://xpressbeauty/products/babylisspro-snapfx-trimmer","in_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/BabylissProSNAPFXTrimmer/BabylissProSNAPFXTrimmer.webp"
"64f8cd3087920a824b55ab07","Stylecraft Bushwhacker - Mens Personal Groomer","The StyleCraft Bush Whacker is a personal hair grooming trimmer.  It’s cordless electric razor with powerful motor and ceramic blades are high precision for a quiet and portable unit.  It is waterproof and easily recharges from a universal USB-TYPE A connection.  A powerful and precise cordless trimmer for unwanted or excess hair in all areas of the body, especially for below-the-belt grooming.  Enjoy smoother and cleaner personal areas without skin irritations. Our personal trimmer is easy to use and compact enough to bring on your travels. This body hair trimmer can be used for both wet and dry shaving. Clean with running water after use to remove trapped hair.More features about this trimmer:SUPERCHARGED MOTOR our personal groomer is equipped with a high-performance motor that lets you trim and groom any hair on your torso and body, especially below the beltGENTLE WHITE CERAMIC CUTTING BLADE sharpened to utmost precision perfect for cutting through coarse and curly hair without tugging or pulling that can leave your skin red and irritatedPORTABLE & DISCREET slim compact design fits comfortably in any toiletry kit or overnight bag and is ideal for getting into hard-to-reach placesLOW NOISE AND VIBRATION for comfort and stability gently and precisely removes unwanted hair without irritationUNIVERSAL USB-TYPE A RECHARGEABLE for convenience and worldwide use, on the go or use at homeINCLUDES two 2-sided guard attachments (3-6mm, 9-12mm) for 4 variable comb length optionsCOMPACT AND GREAT FOR TRAVEL or in your purse, gym bag or suitcase for portability100% WATER RESISTANT great for the shower or spa for wet or dry trimmingENGINEERED AND DESIGNED in the USAINCLUDES: 1 personal groomer, 2 guards, ceramic blade, USB/cord rechargeable battery","109.99","new","https://xpressbeauty/products/stylecraft-bushwhacker--mens-personal-groomer","out_of_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/StylecraftBushwhackerMensPersonalGroomer/StylecraftBushwhackerMensPersonalGroomer.webp"
"64f8cd3087920a824b55ab08","Wahl Peanut Clipper/ Trimmer Black","Premium corded clipper/trimmer with rotary motor.Ergonomic and light in weight. 4 ounces, 4 inches.All the power of a full size clipper.High precision ground carbon steel detachable snap-on and snap-off blade.For cutting work and precision detail finishing.Includes 4 guides (1/8"-1/2").Kit includes: Professional corded clipper/trimmer - 4 Guides (1/8"-1/2") - Cleaning brush - Blade oil - Blade guard - Instructions","79.99","new","https://xpressbeauty/products/wahl-peanut-clipper-trimmer-black","in_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/WahlPeanutClipperTrimmerBlack/WahlPeanutClipperTrimmerBlack.webp"
"64f8cd3087920a824b55ab09","JRL FF2020 Limited Gold Clipper & Trimmer Set","                        Included one of each: 1 Gold 2020C Clipper, 1 Gold 2020T Trimmer, 1 Charging Dock, 1 Screwdriver, 1 Brush, 1 Lubricant Oil, 1 Blade Protector, 1 set of Comb Guards                      ","399.99","new","https://xpressbeauty/products/jrl-ff-limited-gold-clipper--trimmer-set","out_of_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/JRLFFLimitedGoldClipperTrimmerSet/JRLFFLimitedGoldClipperTrimmerSet.webp"
"64f8cd3087920a824b55ab0a","S|C Instinct Vector Motor Cordless Trimmer","Intuitive Vector Motor offers an unmatched 9,500 strokes per minute with unstoppable power for highly optimized bulk removal with no snagging or pullingAssembled with Black Diamond Carbon DLC X-Pro wide fixed blade and the one black deep tooth cutting blade for the smoothest, crunchiest cutting and ultra-sharp lines• Lithium-ion battery delivers a 4-hour cordless run-time with charging stand with a 2-hour recharge time, along with a universal Micro-USB for worldwide use• Fully adjustable blade can be easily zero gapped for the closest cut and finish, zero-gap blade setting tool included to ensure blade is perfectly aligned• Open skeleton 360° design to expose the blade for cooler operation, better sight line, and enhanced precision• 3 additional housing options for different body modifications with transparent motor showcase options • Compact and lightweight with an ergonomic design for ultimate comfort• Engineered and designed in the USA• Includes: trimmer, black diamond carbon x-pro wide fixed blade, black diamond carbon "the one" deep tooth cutter, zero gap blade cover setting tool,  Micro-USB cord, charging stand and cord, cleaning/maintenance kit and screwdriver","311.1","new","https://xpressbeauty/products/sc-instinct-vector-motor-cordless-trimmer","out_of_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/SCInstinctVectorMotorCordlessTrimmer/SCInstinctVectorMotorCordlessTrimmer.webp"
"64f8cd3087920a824b55ab0b","S|C Power Cruiser Trimmer","• POWER CRUISER TRIMMER is a professional corded trimmer with rotary motor that is super convenience for constant use when you need it• HIGH-QUALITY Japanese Stainless Steel fixed and moving blades for the closest cut and finish• PROFESSIONAL 10 FT CORD for ease of use around a barber chair and constant power along with a metal hook for storage• CORDED ELECTRIC allows usage whenever you need it and never running out of power for a multitude of back-to-back clients or long time use for yourself    • 3 Trimmer guards included for a variety of settings and styles• ENGINEERED AND DESIGNED in the USA• INCLUDES: 1 Trimmer, Stainless Steel blades, 3 Guards","49.99","new","https://xpressbeauty/products/sc-power-cruiser-trimmer","out_of_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/SCPowerCruiserTrimmer/SCPowerCruiserTrimmer.webp"
"64f8cd3087920a824b55ab0c","Oster Cordless T-Finisher Trimmer","Trusted PerformanceClean up lines around ears, sideburns, and neckline with precision and ease with the Oster Professional Cordless T-Finisher Trimmer. This cordless trimmer uses a long-lasting lithium-ion battery to bring you the performance you know and trust from the iconic Oster T-Finisher, with a new cordless, modernized design.Ergonomic, Cordless DesignThe cordless, ergonomic design is great for all-day use, with or without the 8-foot cord.Powerful High-Torque MotorWith a powerful, high-torque motor, these trimmers are ideal for detailed work, hard-to-reach areas, and clean lines.Long-Lasting Lithium-Ion BatteryThe powerful lithium-ion battery has up to 180 minutes of run time.Durable Stainless Steel T-BladeA sharp, stainless steel T-Blade provides better visibility while in use, trims smoothly through the thickest hair, and can adjust to be zero-gapped.High-Quality, Durable ConstructionDurable, reliable construction ideal designed to stand the test of time.Adaptive Speed ControlAdaptive speed control automatically adjusts the speed of the motor to maintain power when cutting through dense hair.Additional FeaturesAlso includes 2 blade guards, a charging stand, blade oil, a T-Blade, an 8-foot cord, and a 1-year warranty.","209.99","new","https://xpressbeauty/products/oster-cordless-tfinisher-trimmer","in_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/OsterCordlessTFinisherTrimmer/OsterCordlessTFinisherTrimmer.webp"
"64f8cd3087920a824b55ab0d","BabylissPro Outliner Trimmer With Stainless Steel Blade","Babyliss Outliner Trimmer With Stainless Steel BladeUltra-thin, fine-tooth blade can be easily adjusted to zero-gap settingPowerful rotary motorLightweight and ergonomic design8 ft cord (2.45 m) with hang loop","59.99","new","https://xpressbeauty/products/babylisspro-outliner-trimmer-with-stainless-steel-blade","out_of_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/BabylissProOutlinerTrimmerWithStainlessSteelBlade/BabylissProOutlinerTrimmerWithStainlessSteelBlade.webp"
"64f8cd3087920a824b55ab0e","S|C Absolute Hitter Trimmer","• Supercharged rotary motor powerful• High quality hitter stainless steel blade and deep tooth cutter blade is fully adjustable zero gap for the closest cut and finish• Lithium-ion battery delivers 4 hours of cordless run-time with a 2-hour rapid charge• Fully adjustable zero gap blade• Mini USB rechargeable and charging stand• 3 Interchangeable custom body housing options• Removable drop top option for skeleton style design• Lighted power button• 3 Trimmer guards• Includes: Trimmer, Black Diamond Carbon DLC fixed blade, Stainless-Steel deep tooth cutter, 3 guards (1/2", 1", 1.5"), charging stand, mini-USB cord, & cleaning/maintenance kit and mini screwdriver","124.94","new","https://xpressbeauty/products/sc-absolute-hitter-trimmer","out_of_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/SCAbsoluteHitterTrimmer/SCAbsoluteHitterTrimmer.webp"
